pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0.41757,0.00902,0.410032,0.871224,0.779234,16.0498
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150305_14:53:26,0,0,TBD
20150305_14:53:27,0,0,TBD
20150305_14:53:28,0,0,TBD
20150305_14:53:29,0,0,TBD
20150305_14:53:30,0,0,TBD
20150305_14:53:31,0,0,TBD
20150305_14:53:32,0,0,TBD
20150305_14:53:33,0,0,TBD
20150305_14:53:34,0,0,TBD
20150305_14:53:35,0,0,TBD
20150305_14:53:36,0,0,TBD
20150305_14:53:37,0,0,TBD
20150305_14:53:38,0,0,TBD
20150305_14:53:39,0,1,TBD
20150305_14:53:40,0,1,TBD
20150305_14:53:41,0,1,TBD
20150305_14:53:42,0,1,TBD
20150305_14:53:43,0,1,TBD
20150305_14:53:44,0,1,TBD
20150305_14:53:45,0,1,TBD
20150305_14:53:46,0,1,TBD
20150305_14:53:47,0,2,TBD
20150305_14:53:48,0,2,TBD
20150305_14:53:49,0,2,TBD
20150305_14:53:50,0,3,TBD
20150305_14:53:51,0,3,TBD
20150305_14:53:52,0,3,TBD
20150305_14:53:53,0,4,TBD
20150305_14:53:54,0,4,TBD
20150305_14:53:55,0,5,TBD
20150305_14:53:56,0,5,TBD
20150305_14:53:57,0,5,TBD
20150305_14:53:58,0,5,TBD
20150305_14:53:59,0,5,TBD
20150305_14:54:00,0,5,TBD
20150305_14:54:01,0,5,TBD
20150305_14:54:02,0,5,TBD
20150305_14:54:03,0,5,TBD
20150305_14:54:04,0,5,TBD
20150305_14:54:05,0,5,TBD
20150305_14:54:06,0,5,TBD
20150305_14:54:07,0,5,TBD
20150305_14:54:08,0,5,TBD
20150305_14:54:09,0,5,TBD
20150305_14:54:10,0,5,TBD
20150305_14:54:11,0,5,TBD
20150305_14:54:12,0,5,TBD
20150305_14:54:13,0,5,TBD
20150305_14:54:14,0,5,TBD
20150305_14:54:15,0,5,TBD
20150305_14:54:16,0,5,TBD
20150305_14:54:17,0,5,TBD
20150305_14:54:18,0,5,TBD
20150305_14:54:19,0,5,TBD
20150305_14:54:20,0,5,TBD
20150305_14:54:21,0,5,TBD
20150305_14:54:22,0,5,TBD
20150305_14:54:23,0,5,TBD
20150305_14:54:24,0,5,TBD
20150305_14:54:25,0,5,TBD
20150305_14:54:26,1,5,TBD
20150305_14:54:27,1,5,TBD
20150305_14:54:28,1,5,TBD
20150305_14:54:29,1,5,TBD
20150305_14:54:30,1,5,TBD
20150305_14:54:31,1,5,TBD
20150305_14:54:32,1,5,TBD
20150305_14:54:33,1,5,TBD
20150305_14:54:34,1,5,TBD
20150305_14:54:35,1,5,TBD
20150305_14:54:36,1,5,TBD
20150305_14:54:37,1,5,TBD
20150305_14:54:38,1,5,TBD
20150305_14:54:39,1,5,TBD
20150305_14:54:40,1,5,TBD
20150305_14:54:41,1,5,TBD
20150305_14:54:42,1,5,TBD
20150305_14:54:43,1,5,TBD
20150305_14:54:44,1,5,TBD
20150305_14:54:45,1,5,TBD
20150305_14:54:46,1,5,TBD
20150305_14:54:47,1,5,TBD
20150305_14:54:48,1,5,TBD
20150305_14:54:49,1,5,TBD
20150305_14:54:50,1,5,TBD
20150305_14:54:51,1,5,TBD
20150305_14:54:52,1,5,TBD
20150305_14:54:53,1,5,TBD
20150305_14:54:54,1,5,TBD
20150305_14:54:55,1,5,TBD
20150305_14:54:56,1,5,TBD
20150305_14:54:57,1,5,TBD
20150305_14:54:58,1,5,TBD
20150305_14:54:59,1,5,TBD
20150305_14:55:00,1,5,TBD
20150305_14:55:01,1,5,TBD
20150305_14:55:02,1,5,TBD
20150305_14:55:03,1,5,TBD
20150305_14:55:04,1,5,TBD
20150305_14:55:05,1,5,TBD
20150305_14:55:06,1,5,TBD
20150305_14:55:07,1,5,TBD
20150305_14:55:08,1,5,TBD
20150305_14:55:09,1,5,TBD
20150305_14:55:10,1,6,TBD
20150305_14:55:11,1,6,TBD
20150305_14:55:12,1,8,TBD
20150305_14:55:13,1,8,TBD
20150305_14:55:14,1,8,TBD
20150305_14:55:15,1,8,TBD
20150305_14:55:16,1,8,TBD
20150305_14:55:17,1,8,TBD
20150305_14:55:18,1,8,TBD
20150305_14:55:19,1,8,TBD
20150305_14:55:20,1,8,TBD
20150305_14:55:21,1,8,TBD
20150305_14:55:22,1,8,TBD
20150305_14:55:23,1,8,TBD
20150305_14:55:24,1,8,TBD
20150305_14:55:25,1,8,TBD
20150305_14:55:26,1,8,TBD
20150305_14:55:27,1,8,TBD
20150305_14:55:28,1,8,TBD
20150305_14:55:29,1,8,TBD
20150305_14:55:30,1,8,TBD
20150305_14:55:31,1,8,TBD
20150305_14:55:32,1,8,TBD
20150305_14:55:33,1,8,TBD
20150305_14:55:34,1,8,TBD
20150305_14:55:35,1,8,TBD
20150305_14:55:36,1,8,TBD
20150305_14:55:37,1,8,TBD
20150305_14:55:38,1,8,TBD
20150305_14:55:39,1,8,TBD
20150305_14:55:40,1,8,TBD
20150305_14:55:41,1,8,TBD
20150305_14:55:42,1,8,TBD
20150305_14:55:43,1,8,TBD
20150305_14:55:44,1,8,TBD
20150305_14:55:45,1,8,TBD
20150305_14:55:46,1,8,TBD
20150305_14:55:47,1,8,TBD
20150305_14:55:48,1,8,TBD
20150305_14:55:49,1,8,TBD
20150305_14:55:50,1,8,TBD
20150305_14:55:51,2,8,TBD
20150305_14:55:52,2,8,TBD
20150305_14:55:53,2,8,TBD
20150305_14:55:54,2,8,TBD
20150305_14:55:55,2,8,TBD
20150305_14:55:56,2,8,TBD
20150305_14:55:57,2,8,TBD
20150305_14:55:58,2,8,TBD
20150305_14:55:59,2,8,TBD
20150305_14:56:00,2,8,TBD
20150305_14:56:01,2,9,TBD
20150305_14:56:02,2,9,TBD
20150305_14:56:03,2,10,TBD
20150305_14:56:04,2,10,TBD
20150305_14:56:05,2,10,TBD
20150305_14:56:06,2,10,TBD
20150305_14:56:07,2,10,TBD
20150305_14:56:08,3,10,TBD
20150305_14:56:09,3,10,TBD
20150305_14:56:10,3,10,TBD
20150305_14:56:11,3,11,TBD
20150305_14:56:12,3,11,TBD
20150305_14:56:13,3,11,TBD
20150305_14:56:14,3,12,TBD
20150305_14:56:15,3,12,TBD
20150305_14:56:16,3,12,TBD
20150305_14:56:17,3,12,TBD
20150305_14:56:18,3,13,TBD
20150305_14:56:19,3,13,TBD
20150305_14:56:20,3,13,TBD
20150305_14:56:21,3,13,TBD
20150305_14:56:22,3,13,TBD
20150305_14:56:23,3,13,TBD
20150305_14:56:24,3,13,TBD
20150305_14:56:25,3,13,TBD
20150305_14:56:26,3,13,TBD
20150305_14:56:27,3,14,TBD
20150305_14:56:28,3,15,TBD
20150305_14:56:29,3,16,TBD
20150305_14:56:30,3,17,TBD
20150305_14:56:31,3,18,TBD
20150305_14:56:32,3,18,TBD
20150305_14:56:33,3,19,TBD
20150305_14:56:34,3,19,TBD
20150305_14:56:35,3,19,TBD
20150305_14:56:36,3,20,TBD
20150305_14:56:37,3,20,TBD
20150305_14:56:38,3,20,TBD
20150305_14:56:39,3,20,TBD
20150305_14:56:40,3,20,TBD
20150305_14:56:41,3,21,TBD
20150305_14:56:42,3,21,TBD
20150305_14:56:43,3,21,TBD
20150305_14:56:44,3,21,TBD
20150305_14:56:45,3,21,TBD
20150305_14:56:46,3,21,TBD
20150305_14:56:47,3,21,TBD
20150305_14:56:48,3,21,TBD
20150305_14:56:49,3,21,TBD
20150305_14:56:50,3,21,TBD
20150305_14:56:51,3,21,TBD
20150305_14:56:52,3,21,TBD
20150305_14:56:53,3,21,TBD
20150305_14:56:54,3,21,TBD
20150305_14:56:55,3,21,TBD
20150305_14:56:56,3,21,TBD
20150305_14:56:57,3,21,TBD
20150305_14:56:58,3,21,TBD
20150305_14:56:59,3,21,TBD
20150305_14:57:00,3,21,TBD
20150305_14:57:01,3,21,TBD
20150305_14:57:02,3,21,TBD
20150305_14:57:03,3,21,TBD
20150305_14:57:04,3,21,TBD
20150305_14:57:05,3,21,TBD
20150305_14:57:06,3,21,TBD
20150305_14:57:07,3,21,TBD
20150305_14:57:08,3,21,TBD
20150305_14:57:09,3,21,TBD
20150305_14:57:10,3,21,TBD
20150305_14:57:11,3,21,TBD
20150305_14:57:12,3,21,TBD
20150305_14:57:13,4,21,TBD
20150305_14:57:14,4,21,TBD
20150305_14:57:15,4,24,TBD
20150305_14:57:16,4,24,TBD
20150305_14:57:17,4,25,TBD
20150305_14:57:18,4,25,TBD
20150305_14:57:19,4,25,TBD
20150305_14:57:20,4,26,TBD
20150305_14:57:21,4,26,TBD
20150305_14:57:22,4,27,TBD
20150305_14:57:23,4,28,TBD
20150305_14:57:24,4,28,TBD
20150305_14:57:25,4,28,TBD
20150305_14:57:26,4,28,TBD
20150305_14:57:27,4,30,TBD
20150305_14:57:28,4,30,TBD
20150305_14:57:29,4,30,TBD
20150305_14:57:30,4,30,TBD
20150305_14:57:31,4,30,TBD
20150305_14:57:32,4,30,TBD
20150305_14:57:33,4,30,TBD
20150305_14:57:34,4,30,TBD
20150305_14:57:35,4,31,TBD
20150305_14:57:36,4,31,TBD
20150305_14:57:37,4,31,TBD
20150305_14:57:38,4,31,TBD
20150305_14:57:39,4,31,TBD
20150305_14:57:40,4,32,TBD
20150305_14:57:41,4,32,TBD
20150305_14:57:42,4,32,TBD
20150305_14:57:43,4,32,TBD
20150305_14:57:44,4,33,TBD
20150305_14:57:45,4,33,TBD
20150305_14:57:46,4,33,TBD
20150305_14:57:47,4,33,TBD
20150305_14:57:48,4,33,TBD
20150305_14:57:49,4,33,TBD
20150305_14:57:50,4,33,TBD
20150305_14:57:51,4,33,TBD
20150305_14:57:52,4,33,TBD
20150305_14:57:53,4,33,TBD
20150305_14:57:54,4,33,TBD
20150305_14:57:55,4,33,TBD
20150305_14:57:56,4,33,TBD
20150305_14:57:57,4,33,TBD
20150305_14:57:58,4,33,TBD
20150305_14:57:59,4,33,TBD
20150305_14:58:00,4,33,TBD
20150305_14:58:01,4,33,TBD
20150305_14:58:02,4,33,TBD
20150305_14:58:03,4,33,TBD
20150305_14:58:04,4,33,TBD
20150305_14:58:05,4,33,TBD
20150305_14:58:06,4,33,TBD
20150305_14:58:07,4,33,TBD
20150305_14:58:08,4,33,TBD
20150305_14:58:09,4,33,TBD
20150305_14:58:10,4,33,TBD
20150305_14:58:11,4,33,TBD
20150305_14:58:12,4,33,TBD
20150305_14:58:13,4,33,TBD
20150305_14:58:14,4,33,TBD
20150305_14:58:15,4,33,TBD
20150305_14:58:16,4,33,TBD
20150305_14:58:17,4,33,TBD
20150305_14:58:18,4,33,TBD
20150305_14:58:19,4,33,TBD
20150305_14:58:20,4,33,TBD
20150305_14:58:21,4,33,TBD
20150305_14:58:22,4,33,TBD
20150305_14:58:23,4,33,TBD
20150305_14:58:24,4,33,TBD
20150305_14:58:25,4,33,TBD
20150305_14:58:26,4,33,TBD
20150305_14:58:27,4,33,TBD
20150305_14:58:28,4,33,TBD
20150305_14:58:29,4,33,TBD
20150305_14:58:30,4,33,TBD
20150305_14:58:31,4,33,TBD
20150305_14:58:32,4,33,TBD
20150305_14:58:33,4,33,TBD
20150305_14:58:34,4,33,TBD
20150305_14:58:35,4,33,TBD
20150305_14:58:36,4,33,TBD
20150305_14:58:37,4,33,TBD
20150305_14:58:38,4,33,TBD
20150305_14:58:39,4,33,TBD
20150305_14:58:40,4,33,TBD
20150305_14:58:41,4,33,TBD
20150305_14:58:42,4,33,TBD
20150305_14:58:43,4,33,TBD
20150305_14:58:44,4,33,TBD
20150305_14:58:45,4,33,TBD
20150305_14:58:46,4,33,TBD
20150305_14:58:47,4,33,TBD
20150305_14:58:48,4,33,TBD
20150305_14:58:49,4,33,TBD
20150305_14:58:50,4,33,TBD
20150305_14:58:51,4,33,TBD
20150305_14:58:52,4,33,TBD
20150305_14:58:53,4,33,TBD
20150305_14:58:54,4,33,TBD
20150305_14:58:55,4,33,TBD
20150305_14:58:56,4,33,TBD
20150305_14:58:57,4,33,TBD
20150305_14:58:58,4,33,TBD
20150305_14:58:59,4,33,TBD
20150305_14:59:00,4,33,TBD
20150305_14:59:01,4,33,TBD
20150305_14:59:02,4,33,TBD
20150305_14:59:03,4,33,TBD
20150305_14:59:04,4,33,TBD
20150305_14:59:05,4,33,TBD
20150305_14:59:06,4,33,TBD
20150305_14:59:07,4,33,TBD
20150305_14:59:08,4,33,TBD
20150305_14:59:09,4,33,TBD
20150305_14:59:10,4,33,TBD
20150305_14:59:11,4,33,TBD
20150305_14:59:12,4,33,TBD
20150305_14:59:13,4,33,TBD
20150305_14:59:14,4,33,TBD
20150305_14:59:15,4,33,TBD
20150305_14:59:16,4,33,TBD
20150305_14:59:17,4,33,TBD
20150305_14:59:18,4,33,TBD
20150305_14:59:19,4,33,TBD
20150305_14:59:20,4,33,TBD
20150305_14:59:21,4,33,TBD
20150305_14:59:22,4,33,TBD
20150305_14:59:23,4,33,TBD
20150305_14:59:24,4,33,TBD
20150305_14:59:25,4,33,TBD
20150305_14:59:26,4,33,TBD
20150305_14:59:27,4,33,TBD
20150305_14:59:28,4,33,TBD
20150305_14:59:29,4,33,TBD
20150305_14:59:30,4,33,TBD
20150305_14:59:31,4,33,TBD
20150305_14:59:32,4,33,TBD
20150305_14:59:33,4,33,TBD
20150305_14:59:34,4,33,TBD
20150305_14:59:35,4,33,TBD
20150305_14:59:36,4,33,TBD
20150305_14:59:37,4,33,TBD
20150305_14:59:38,4,33,TBD
20150305_14:59:39,4,33,TBD
20150305_14:59:40,4,33,TBD
20150305_14:59:41,4,33,TBD
20150305_14:59:42,4,33,TBD
20150305_14:59:43,4,33,TBD
20150305_14:59:44,4,33,TBD
20150305_14:59:45,4,33,TBD
20150305_14:59:46,4,33,TBD
20150305_14:59:47,4,33,TBD
20150305_14:59:48,4,33,TBD
20150305_14:59:49,4,33,TBD
20150305_14:59:50,4,33,TBD
20150305_14:59:51,5,33,TBD
20150305_14:59:52,5,33,TBD
20150305_14:59:53,5,33,TBD
20150305_14:59:54,5,33,TBD
20150305_14:59:55,5,33,TBD
20150305_14:59:56,5,33,TBD
20150305_14:59:57,5,33,TBD
20150305_14:59:58,5,33,TBD
20150305_14:59:59,5,33,TBD
20150305_15:00:00,5,33,TBD
