pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0,0,20,0.871224,0.779234,20
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150305_11:35:56,0,0,TBD
20150305_11:35:57,0,0,TBD
20150305_11:35:58,0,0,TBD
20150305_11:35:59,0,0,TBD
20150305_11:36:00,0,0,TBD
20150305_11:36:01,0,0,TBD
20150305_11:36:02,0,0,TBD
20150305_11:36:03,0,0,TBD
20150305_11:36:04,0,0,TBD
20150305_11:36:05,0,0,TBD
20150305_11:36:06,0,0,TBD
20150305_11:36:07,0,0,TBD
20150305_11:36:08,0,0,TBD
20150305_11:36:09,0,0,TBD
20150305_11:36:10,0,0,TBD
20150305_11:36:11,0,0,TBD
20150305_11:36:12,0,0,TBD
20150305_11:36:13,0,0,TBD
20150305_11:36:14,0,0,TBD
20150305_11:36:15,0,0,TBD
20150305_11:36:16,0,0,TBD
20150305_11:36:17,0,0,TBD
20150305_11:36:18,0,0,TBD
20150305_11:36:19,0,0,TBD
20150305_11:36:20,0,0,TBD
20150305_11:36:21,0,0,TBD
20150305_11:36:22,0,0,TBD
20150305_11:36:23,0,0,TBD
20150305_11:36:24,0,0,TBD
20150305_11:36:25,0,0,TBD
20150305_11:36:26,0,0,TBD
20150305_11:36:27,0,0,TBD
20150305_11:36:28,0,0,TBD
20150305_11:36:29,0,0,TBD
20150305_11:36:30,0,0,TBD
20150305_11:36:31,0,0,TBD
20150305_11:36:32,0,0,TBD
20150305_11:36:33,0,0,TBD
20150305_11:36:34,0,0,TBD
20150305_11:36:35,0,0,TBD
20150305_11:36:36,0,0,TBD
20150305_11:36:37,0,0,TBD
20150305_11:36:38,0,0,TBD
20150305_11:36:39,0,0,TBD
20150305_11:36:40,0,0,TBD
20150305_11:36:41,0,0,TBD
20150305_11:36:42,0,0,TBD
20150305_11:36:43,0,0,TBD
20150305_11:36:44,0,0,TBD
20150305_11:36:45,0,0,TBD
20150305_11:36:46,0,0,TBD
20150305_11:36:47,0,0,TBD
20150305_11:36:48,0,0,TBD
20150305_11:36:49,0,0,TBD
20150305_11:36:50,0,0,TBD
20150305_11:36:51,0,0,TBD
20150305_11:36:52,0,0,TBD
20150305_11:36:53,0,0,TBD
20150305_11:36:54,0,0,TBD
20150305_11:36:55,0,0,TBD
20150305_11:36:56,0,0,TBD
20150305_11:36:57,0,0,TBD
20150305_11:36:58,0,0,TBD
20150305_11:36:59,0,0,TBD
20150305_11:37:00,0,0,TBD
20150305_11:37:01,0,0,TBD
20150305_11:37:02,0,0,TBD
20150305_11:37:03,0,0,TBD
20150305_11:37:04,0,0,TBD
20150305_11:37:05,0,0,TBD
20150305_11:37:06,0,0,TBD
20150305_11:37:07,0,0,TBD
20150305_11:37:08,0,0,TBD
20150305_11:37:09,0,0,TBD
20150305_11:37:10,0,0,TBD
20150305_11:37:11,0,0,TBD
20150305_11:37:12,0,0,TBD
20150305_11:37:13,0,0,TBD
20150305_11:37:14,0,0,TBD
20150305_11:37:15,0,0,TBD
20150305_11:37:16,0,0,TBD
20150305_11:37:17,0,0,TBD
20150305_11:37:18,0,0,TBD
20150305_11:37:19,0,0,TBD
20150305_11:37:20,0,0,TBD
20150305_11:37:21,0,0,TBD
20150305_11:37:22,0,0,TBD
20150305_11:37:23,0,0,TBD
20150305_11:37:24,0,0,TBD
20150305_11:37:25,0,0,TBD
20150305_11:37:26,0,0,TBD
20150305_11:37:27,0,0,TBD
