pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0.41757,0.00902,0.410032,0.871224,0.779234,16.0498
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150305_11:52:35,0,0,TBD
20150305_11:52:36,0,0,TBD
20150305_11:52:37,0,0,TBD
20150305_11:52:38,0,0,TBD
20150305_11:52:39,0,0,TBD
20150305_11:52:40,0,0,TBD
20150305_11:52:41,0,0,TBD
20150305_11:52:42,0,0,TBD
20150305_11:52:43,0,0,TBD
20150305_11:52:44,0,0,TBD
20150305_11:52:45,0,0,TBD
20150305_11:52:46,0,0,TBD
20150305_11:52:47,0,0,TBD
20150305_11:52:48,0,0,TBD
20150305_11:52:49,0,0,TBD
20150305_11:52:50,0,0,TBD
20150305_11:52:51,0,0,TBD
20150305_11:52:52,0,0,TBD
20150305_11:52:53,0,0,TBD
20150305_11:52:54,0,0,TBD
20150305_11:52:55,0,0,TBD
20150305_11:52:56,0,0,TBD
20150305_11:52:57,0,0,TBD
20150305_11:52:58,0,0,TBD
20150305_11:52:59,0,0,TBD
20150305_11:53:00,0,0,TBD
20150305_11:53:01,0,0,TBD
20150305_11:53:02,0,0,TBD
20150305_11:53:03,0,0,TBD
20150305_11:53:04,0,0,TBD
20150305_11:53:05,0,0,TBD
20150305_11:53:06,0,0,TBD
20150305_11:53:07,0,0,TBD
20150305_11:53:08,0,0,TBD
20150305_11:53:09,0,0,TBD
20150305_11:53:10,0,0,TBD
20150305_11:53:11,0,0,TBD
20150305_11:53:12,0,0,TBD
20150305_11:53:13,0,0,TBD
20150305_11:53:14,0,0,TBD
20150305_11:53:15,0,0,TBD
20150305_11:53:16,0,0,TBD
20150305_11:53:17,0,0,TBD
20150305_11:53:18,0,0,TBD
20150305_11:53:19,0,0,TBD
20150305_11:53:20,0,0,TBD
20150305_11:53:21,0,0,TBD
20150305_11:53:22,0,0,TBD
20150305_11:53:23,0,0,TBD
20150305_11:53:24,0,0,TBD
20150305_11:53:25,0,0,TBD
20150305_11:53:26,0,0,TBD
20150305_11:53:27,0,0,TBD
20150305_11:53:28,0,0,TBD
20150305_11:53:29,0,0,TBD
20150305_11:53:30,0,0,TBD
20150305_11:53:31,0,0,TBD
20150305_11:53:32,0,0,TBD
20150305_11:53:33,0,0,TBD
20150305_11:53:34,0,0,TBD
20150305_11:53:35,0,0,TBD
20150305_11:53:36,0,0,TBD
20150305_11:53:37,0,0,TBD
20150305_11:53:38,0,0,TBD
20150305_11:53:39,0,0,TBD
20150305_11:53:40,0,0,TBD
20150305_11:53:41,0,0,TBD
20150305_11:53:42,0,0,TBD
20150305_11:53:43,0,0,TBD
20150305_11:53:44,0,0,TBD
20150305_11:53:45,0,0,TBD
20150305_11:53:46,0,0,TBD
20150305_11:53:47,0,0,TBD
20150305_11:53:48,0,0,TBD
