pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0.41757,0.00902,0.410032,0.871224,0.779234,16.0498
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150303_15:20:39,0,0,TBD
20150303_15:20:40,0,0,TBD
20150303_15:20:41,0,0,TBD
20150303_15:20:42,0,0,TBD
20150303_15:20:43,0,1,TBD
20150303_15:20:44,0,1,TBD
20150303_15:20:45,0,1,TBD
20150303_15:20:46,0,1,TBD
20150303_15:20:47,0,2,TBD
20150303_15:20:48,0,2,TBD
20150303_15:20:49,0,2,TBD
20150303_15:20:50,0,2,TBD
20150303_15:20:51,0,3,TBD
20150303_15:20:52,0,3,TBD
20150303_15:20:53,0,3,TBD
20150303_15:20:54,0,3,TBD
20150303_15:20:55,0,3,TBD
20150303_15:20:56,0,3,TBD
20150303_15:20:57,0,3,TBD
20150303_15:20:58,0,3,TBD
20150303_15:20:59,0,3,TBD
20150303_15:21:00,0,3,TBD
20150303_15:21:01,0,3,TBD
20150303_15:21:02,0,4,TBD
20150303_15:21:03,0,4,TBD
20150303_15:21:04,0,5,TBD
20150303_15:21:05,0,5,TBD
20150303_15:21:06,0,5,TBD
20150303_15:21:07,0,5,TBD
20150303_15:21:08,0,5,TBD
20150303_15:21:09,0,5,TBD
20150303_15:21:10,0,5,TBD
20150303_15:21:11,0,5,TBD
20150303_15:21:12,0,5,TBD
20150303_15:21:13,0,5,TBD
20150303_15:21:14,0,5,TBD
20150303_15:21:15,0,5,TBD
20150303_15:21:16,0,5,TBD
20150303_15:21:17,0,6,TBD
20150303_15:21:18,0,7,TBD
20150303_15:21:19,0,9,TBD
20150303_15:21:20,0,9,TBD
20150303_15:21:21,0,9,TBD
20150303_15:21:22,0,9,TBD
20150303_15:21:23,0,9,TBD
20150303_15:21:24,0,9,TBD
20150303_15:21:25,0,9,TBD
20150303_15:21:26,0,9,TBD
20150303_15:21:27,0,9,TBD
20150303_15:21:28,0,9,TBD
20150303_15:21:29,0,9,TBD
20150303_15:21:30,0,9,TBD
20150303_15:21:31,0,9,TBD
20150303_15:21:32,0,9,TBD
20150303_15:21:33,0,9,TBD
20150303_15:21:34,0,9,TBD
20150303_15:21:35,0,9,TBD
20150303_15:21:36,0,9,TBD
20150303_15:21:37,0,9,TBD
20150303_15:21:38,0,9,TBD
20150303_15:21:39,0,9,TBD
20150303_15:21:40,0,9,TBD
20150303_15:21:41,0,9,TBD
20150303_15:21:42,0,9,TBD
20150303_15:21:43,0,10,TBD
20150303_15:21:44,0,10,TBD
20150303_15:21:45,0,10,TBD
20150303_15:21:46,0,10,TBD
20150303_15:21:47,0,10,TBD
20150303_15:21:48,0,10,TBD
