pheromDecay,uniformedCorr,infomredCorr,travelGiveUp,searchGiveUp,pheromLaying,chargeLeave,chargeReturn,siteFidelity
0.000823,0.481555,0.095553,0,0,20,0.871224,0.779234,0
Date-time,numTagsFound,numObstacleCalls,numDeadRobots
20150305_12:10:06,0,0,TBD
20150305_12:10:07,0,0,TBD
20150305_12:10:08,0,0,TBD
20150305_12:10:09,0,0,TBD
20150305_12:10:10,0,0,TBD
20150305_12:10:11,0,0,TBD
20150305_12:10:12,0,0,TBD
20150305_12:10:13,0,0,TBD
20150305_12:10:14,0,0,TBD
20150305_12:10:15,0,0,TBD
20150305_12:10:16,0,0,TBD
20150305_12:10:17,0,0,TBD
20150305_12:10:18,0,0,TBD
20150305_12:10:19,0,0,TBD
20150305_12:10:20,0,0,TBD
20150305_12:10:21,0,0,TBD
20150305_12:10:22,0,0,TBD
20150305_12:10:23,0,0,TBD
20150305_12:10:24,0,0,TBD
20150305_12:10:25,0,0,TBD
20150305_12:10:26,0,0,TBD
20150305_12:10:27,0,0,TBD
20150305_12:10:28,0,0,TBD
20150305_12:10:29,0,0,TBD
20150305_12:10:30,0,0,TBD
20150305_12:10:31,0,0,TBD
20150305_12:10:32,0,0,TBD
20150305_12:10:33,0,0,TBD
20150305_12:10:34,0,0,TBD
20150305_12:10:35,0,0,TBD
20150305_12:10:36,0,0,TBD
20150305_12:10:37,0,0,TBD
20150305_12:10:38,0,0,TBD
20150305_12:10:39,0,0,TBD
20150305_12:10:40,0,0,TBD
20150305_12:10:41,0,0,TBD
20150305_12:10:42,0,0,TBD
20150305_12:10:43,0,0,TBD
20150305_12:10:44,0,0,TBD
20150305_12:10:45,0,0,TBD
20150305_12:10:46,0,0,TBD
20150305_12:10:47,0,0,TBD
20150305_12:10:48,0,0,TBD
20150305_12:10:49,0,0,TBD
20150305_12:10:50,0,0,TBD
20150305_12:10:51,0,0,TBD
20150305_12:10:52,0,0,TBD
20150305_12:10:53,0,0,TBD
20150305_12:10:54,0,0,TBD
20150305_12:10:55,0,0,TBD
20150305_12:10:56,0,0,TBD
20150305_12:10:57,0,0,TBD
20150305_12:10:58,0,0,TBD
20150305_12:10:59,0,0,TBD
20150305_12:11:00,0,0,TBD
20150305_12:11:01,0,0,TBD
20150305_12:11:02,0,0,TBD
20150305_12:11:03,0,0,TBD
20150305_12:11:04,0,0,TBD
20150305_12:11:05,0,0,TBD
20150305_12:11:06,0,0,TBD
20150305_12:11:07,0,0,TBD
20150305_12:11:08,0,0,TBD
20150305_12:11:09,1,0,TBD
20150305_12:11:10,1,0,TBD
20150305_12:11:11,1,0,TBD
20150305_12:11:12,1,0,TBD
20150305_12:11:13,1,0,TBD
20150305_12:11:14,1,0,TBD
20150305_12:11:15,1,0,TBD
20150305_12:11:16,1,0,TBD
20150305_12:11:17,1,0,TBD
20150305_12:11:18,1,0,TBD
20150305_12:11:19,1,0,TBD
20150305_12:11:20,1,0,TBD
20150305_12:11:21,1,0,TBD
20150305_12:11:22,1,0,TBD
20150305_12:11:23,1,0,TBD
20150305_12:11:24,1,0,TBD
20150305_12:11:25,1,0,TBD
20150305_12:11:26,1,0,TBD
20150305_12:11:27,1,0,TBD
20150305_12:11:28,1,0,TBD
20150305_12:11:29,1,0,TBD
20150305_12:11:30,1,0,TBD
20150305_12:11:31,1,0,TBD
20150305_12:11:32,1,0,TBD
